what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410061806028
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410061807297
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410061832446
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410061842219
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410061847590
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410061848137
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410061848492
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410061848789
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410061849076
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410061849375
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410061849675
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410061850381
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410061850961
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410061851488
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410061851966
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410061852745
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410061856772
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410061864990
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410061865946
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410061916303
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1410061924055
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410061992196
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410061997534
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410062017831
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1410062052623
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410062054871
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062059807
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062072183
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410062090337
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410062134022
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410062191577
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410062237662
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062242983
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062397645
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062407347
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062693597
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062696583
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062702339
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410062702560
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410062702699
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1410062702700
executed,command,,,"AUTOGEN:::org.eclipse.wst.html.core.htmlsource.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1410062702702
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410062722327
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1410062738565
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410062740619
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1410062752283
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062762517
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062772943
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062773256
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062776371
error,log,,,"Unhandled event loop exception",1410062776613
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062794669
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062802577
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062802693
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062806551
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410062806644
closed,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410062806645
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062809829
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062812417
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410062812645
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410062812775
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1410062812776
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062815944
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062844870
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062851591
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062853712
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410062853962
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410062854099
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1410062854100
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410062916043
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410062942288
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062945405
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062958636
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062968134
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410062989359
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410062991507
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1410063056557
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1410063059431
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1410063067984
