what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410057957626
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410057958867
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410057959541
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410057972965
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410057987598
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410057999747
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410058002077
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410058070022
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410058073178
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410058093346
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410058095377
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410058101504
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410058114224
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410058114418
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410058114613
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410058114890
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410058118303
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410058119549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410058127879
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410058152181
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410058153974
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410058160373
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410058190240
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410058191610
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410058197822
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410058263074
